"","CO_ID","CoName","Date","Close","Volume"
"2170","0050   ","Yuanta Taiwan Top50",20130702,46.04,4672
"2171","0056   ","PTD          ",20130702,17.97,842
"2172","006205 ","FB SSE180_0  ",20130702,18.89,5053
"2173","0050   ","Yuanta Taiwan Top50",20130703,45.5,7004
"2174","0056   ","PTD          ",20130703,17.95,504
"2175","006205 ","FB SSE180_0  ",20130703,18.64,5039
"2176","0050   ","Yuanta Taiwan Top50",20130704,45.59,4877
"2177","0056   ","PTD          ",20130704,17.94,421
"2178","006205 ","FB SSE180_0  ",20130704,18.88,5081
"2179","0050   ","Yuanta Taiwan Top50",20130705,46.5,17674
"2180","0056   ","PTD          ",20130705,18.1,443
"2181","006205 ","FB SSE180_0  ",20130705,19.09,3127
"2182","0050   ","Yuanta Taiwan Top50",20130708,45.63,8666
"2183","0056   ","PTD          ",20130708,17.97,633
"2184","006205 ","FB SSE180_0  ",20130708,18.73,5018
"2185","0050   ","Yuanta Taiwan Top50",20130709,46.17,4074
"2186","0056   ","PTD          ",20130709,18.02,349
"2187","006205 ","FB SSE180_0  ",20130709,18.71,5104
"2188","0050   ","Yuanta Taiwan Top50",20130710,46.29,9107
"2189","0056   ","PTD          ",20130710,18.04,640
"2190","006205 ","FB SSE180_0  ",20130710,18.68,5030
"2191","0050   ","Yuanta Taiwan Top50",20130711,47.45,30308
"2192","0056   ","PTD          ",20130711,18.34,2109
"2193","006205 ","FB SSE180_0  ",20130711,19.73,5374
"2194","0050   ","Yuanta Taiwan Top50",20130712,47.58,12910
"2195","0056   ","PTD          ",20130712,18.38,1417
"2196","006205 ","FB SSE180_0  ",20130712,19.73,5043
"2197","0050   ","Yuanta Taiwan Top50",20130715,47.7,14187
"2198","0056   ","PTD          ",20130715,18.51,1034
"2199","006205 ","FB SSE180_0  ",20130715,19.83,5079
"2200","0050   ","Yuanta Taiwan Top50",20130716,47.7,9554
"2201","0056   ","PTD          ",20130716,18.58,1227
"2202","006205 ","FB SSE180_0  ",20130716,19.6,5060
"2203","0050   ","Yuanta Taiwan Top50",20130717,47.79,12990
"2204","0056   ","PTD          ",20130717,18.54,650
"2205","006205 ","FB SSE180_0  ",20130717,19.58,5120
"2206","0050   ","Yuanta Taiwan Top50",20130718,47.45,12640
"2207","0056   ","PTD          ",20130718,18.48,1522
"2208","006205 ","FB SSE180_0  ",20130718,19.26,5125
"2209","0050   ","Yuanta Taiwan Top50",20130719,46.42,24692
"2210","0056   ","PTD          ",20130719,18.29,923
"2211","006205 ","FB SSE180_0  ",20130719,19.1,5038
"2212","0050   ","Yuanta Taiwan Top50",20130722,46.58,5257
"2213","0056   ","PTD          ",20130722,18.43,469
"2214","006205 ","FB SSE180_0  ",20130722,18.83,5073
"2215","0050   ","Yuanta Taiwan Top50",20130723,47.33,8971
"2216","0056   ","PTD          ",20130723,18.67,1343
"2217","006205 ","FB SSE180_0  ",20130723,19.41,5399
"2218","0050   ","Yuanta Taiwan Top50",20130724,47.2,4960
"2219","0056   ","PTD          ",20130724,18.64,1292
"2220","006205 ","FB SSE180_0  ",20130724,19.2,5027
"2221","0050   ","Yuanta Taiwan Top50",20130725,47.29,4111
"2222","0056   ","PTD          ",20130725,18.54,470
