CO_ID,CoName,Date,Close,Volume
0056   ,PTD          ,20170807,   23.97,     1000
006205 ,FB SSE180_0  ,20170807,   30.11,     4643
00646  ,S&P 500_6    ,20170807,   22.28,       34
0050   ,Yuanta Taiwan Top50,20170808,   77.74,     2985
0056   ,PTD          ,20170808,   23.98,      772
006205 ,FB SSE180_0  ,20170808,   30.17,     2515
00646  ,S&P 500_6    ,20170808,   22.28,       64
0050   ,Yuanta Taiwan Top50,20170809,   77.03,     3122
0056   ,PTD          ,20170809,   23.89,     1314
006205 ,FB SSE180_0  ,20170809,   30.18,     2624
00646  ,S&P 500_6    ,20170809,   22.25,      196
0050   ,Yuanta Taiwan Top50,20170810,   76.52,     3168
0056   ,PTD          ,20170810,   23.56,     4650
006205 ,FB SSE180_0  ,20170810,   29.95,     9892
00646  ,S&P 500_6    ,20170810,   22.26,       83
0050   ,Yuanta Taiwan Top50,20170811,   76.19,     2747
0056   ,PTD          ,20170811,   23.53,     4616
006205 ,FB SSE180_0  ,20170811,   29.68,     8738
00646  ,S&P 500_6    ,20170811,   22.07,       41
0050   ,Yuanta Taiwan Top50,20170814,   75.72,     2245
0056   ,PTD          ,20170814,   23.15,     4019
006205 ,FB SSE180_0  ,20170814,   29.80,     4234
00646  ,S&P 500_6    ,20170814,   22.19,      114
0050   ,Yuanta Taiwan Top50,20170815,   76.24,     2708
0056   ,PTD          ,20170815,   23.36,     2178
006205 ,FB SSE180_0  ,20170815,   29.99,     3112
00646  ,S&P 500_6    ,20170815,   22.30,       39
0050   ,Yuanta Taiwan Top50,20170816,   75.96,     6282
0056   ,PTD          ,20170816,   23.33,     3961
006205 ,FB SSE180_0  ,20170816,   29.80,     4935
00646  ,S&P 500_6    ,20170816,   22.32,      179
0050   ,Yuanta Taiwan Top50,20170817,   76.57,     1968
0056   ,PTD          ,20170817,   23.52,      879
006205 ,FB SSE180_0  ,20170817,   29.99,     2270
00646  ,S&P 500_6    ,20170817,   22.31,       61
0050   ,Yuanta Taiwan Top50,20170818,   76.10,     2315
0056   ,PTD          ,20170818,   23.46,     1957
006205 ,FB SSE180_0  ,20170818,   30.14,     2137
00646  ,S&P 500_6    ,20170818,   21.96,       69
0050   ,Yuanta Taiwan Top50,20170821,   76.00,     2050
0056   ,PTD          ,20170821,   23.36,     1845
006205 ,FB SSE180_0  ,20170821,   30.17,     1992
00646  ,S&P 500_6    ,20170821,   21.96,      117
0050   ,Yuanta Taiwan Top50,20170822,   76.75,     3986
0056   ,PTD          ,20170822,   23.46,      625
006205 ,FB SSE180_0  ,20170822,   30.38,     4651
00646  ,S&P 500_6    ,20170822,   22.00,       20
0050   ,Yuanta Taiwan Top50,20170823,   76.66,     5504
0056   ,PTD          ,20170823,   23.54,      790
006205 ,FB SSE180_0  ,20170823,   30.46,     2789
00646  ,S&P 500_6    ,20170823,   22.07,       10
0050   ,Yuanta Taiwan Top50,20170824,   77.41,     3487
0056   ,PTD          ,20170824,   23.58,      724
006205 ,FB SSE180_0  ,20170824,   30.43,     3274
00646  ,S&P 500_6    ,20170824,   22.06,       76
0050   ,Yuanta Taiwan Top50,20170825,   77.55,     2614
0056   ,PTD          ,20170825,   23.60,      506
006205 ,FB SSE180_0  ,20170825,   30.70,     4583
00646  ,S&P 500_6    ,20170825,   22.06,      147
0050   ,Yuanta Taiwan Top50,20170828,   77.41,     2773
0056   ,PTD          ,20170828,   23.64,      623
006205 ,FB SSE180_0  ,20170828,   31.32,     8287
00646  ,S&P 500_6    ,20170828,   21.95,       63
0050   ,Yuanta Taiwan Top50,20170829,   77.18,     1228
0056   ,PTD          ,20170829,   23.52,     1027
006205 ,FB SSE180_0  ,20170829,   31.40,     4449
00646  ,S&P 500_6    ,20170829,   21.89,       53
0050   ,Yuanta Taiwan Top50,20170830,   77.55,     4119
0056   ,PTD          ,20170830,   23.64,     1094
006205 ,FB SSE180_0  ,20170830,   31.52,     4593
00646  ,S&P 500_6    ,20170830,   22.02,      140
0050   ,Yuanta Taiwan Top50,20170831,   77.78,     3284
0056   ,PTD          ,20170831,   23.74,     2100
006205 ,FB SSE180_0  ,20170831,   31.29,     4868
00646  ,S&P 500_6    ,20170831,   22.06,      103
0050   ,Yuanta Taiwan Top50,20170901,   77.83,     4429
0056   ,PTD          ,20170901,   23.88,     3841
006205 ,FB SSE180_0  ,20170901,   31.38,     3362
00646  ,S&P 500_6    ,20170901,   22.17,       82
0050   ,Yuanta Taiwan Top50,20170904,   77.69,     2595
0056   ,PTD          ,20170904,   23.86,      859
006205 ,FB SSE180_0  ,20170904,   31.51,     4147
00646  ,S&P 500_6    ,20170904,   22.13,       97
0050   ,Yuanta Taiwan Top50,20170905,   77.78,     2564
0056   ,PTD          ,20170905,   23.92,     1082
006205 ,FB SSE180_0  ,20170905,   31.68,     5913
00646  ,S&P 500_6    ,20170905,   22.07,      124
0050   ,Yuanta Taiwan Top50,20170906,   77.46,     2891
0056   ,PTD          ,20170906,   23.88,     1561
006205 ,FB SSE180_0  ,20170906,   31.59,     3523
00646  ,S&P 500_6    ,20170906,   22.06,        9
0050   ,Yuanta Taiwan Top50,20170907,   77.13,     1368
0056   ,PTD          ,20170907,   23.78,     1182
006205 ,FB SSE180_0  ,20170907,   31.57,     2680
00646  ,S&P 500_6    ,20170907,   22.08,       31
0050   ,Yuanta Taiwan Top50,20170908,   77.55,     2841
0056   ,PTD          ,20170908,   23.87,      968
006205 ,FB SSE180_0  ,20170908,   31.55,     4244
00646  ,S&P 500_6    ,20170908,   22.03,       41
0050   ,Yuanta Taiwan Top50,20170911,   77.41,     1627
0056   ,PTD          ,20170911,   23.94,     1548
006205 ,FB SSE180_0  ,20170911,   31.49,     5056
00646  ,S&P 500_6    ,20170911,   22.13,       25
0050   ,Yuanta Taiwan Top50,20170912,   77.69,     1394
0056   ,PTD          ,20170912,   24.10,     2066
006205 ,FB SSE180_0  ,20170912,   31.51,     2218
00646  ,S&P 500_6    ,20170912,   22.30,       61
0050   ,Yuanta Taiwan Top50,20170913,   77.18,     2175
0056   ,PTD          ,20170913,   24.11,     1600
006205 ,FB SSE180_0  ,20170913,   31.50,     1896
00646  ,S&P 500_6    ,20170913,   22.31,       25
0050   ,Yuanta Taiwan Top50,20170914,   77.22,     1749
0056   ,PTD          ,20170914,   24.12,      977
006205 ,FB SSE180_0  ,20170914,   31.40,     2934
00646  ,S&P 500_6    ,20170914,   22.40,       32
0050   ,Yuanta Taiwan Top50,20170915,   77.22,     1821
0056   ,PTD          ,20170915,   24.16,     1920
006205 ,FB SSE180_0  ,20170915,   31.33,     1931
00646  ,S&P 500_6    ,20170915,   22.39,       22
0050   ,Yuanta Taiwan Top50,20170918,   77.97,     2692
0056   ,PTD          ,20170918,   24.38,     2795
006205 ,FB SSE180_0  ,20170918,   31.41,     2393
00646  ,S&P 500_6    ,20170918,   22.44,       35
0050   ,Yuanta Taiwan Top50,20170919,   77.60,     1456
0056   ,PTD          ,20170919,   24.09,     2675
006205 ,FB SSE180_0  ,20170919,   31.31,     3651
00646  ,S&P 500_6    ,20170919,   22.45,       30
0050   ,Yuanta Taiwan Top50,20170920,   77.08,     9963
0056   ,PTD          ,20170920,   23.97,     1682
006205 ,FB SSE180_0  ,20170920,   31.22,     6646
00646  ,S&P 500_6    ,20170920,   22.47,       44
0050   ,Yuanta Taiwan Top50,20170921,   77.55,     1830
0056   ,PTD          ,20170921,   24.05,      779
006205 ,FB SSE180_0  ,20170921,   31.46,     3072
00646  ,S&P 500_6    ,20170921,   22.55,       29
0050   ,Yuanta Taiwan Top50,20170922,   76.52,     5605
0056   ,PTD          ,20170922,   23.84,     3103
006205 ,FB SSE180_0  ,20170922,   31.25,     3090
00646  ,S&P 500_6    ,20170922,   22.54,       44
0050   ,Yuanta Taiwan Top50,20170925,   75.91,     7071
0056   ,PTD          ,20170925,   23.47,     9492
006205 ,FB SSE180_0  ,20170925,   31.05,     2887
00646  ,S&P 500_6    ,20170925,   22.50,       22
0050   ,Yuanta Taiwan Top50,20170926,   75.30,    11752
0056   ,PTD          ,20170926,   23.34,     9639
006205 ,FB SSE180_0  ,20170926,   31.01,     2559
00646  ,S&P 500_6    ,20170926,   22.44,       56
0050   ,Yuanta Taiwan Top50,20170927,   75.67,     6242
0056   ,PTD          ,20170927,   23.45,     2833
006205 ,FB SSE180_0  ,20170927,   31.05,     1252
00646  ,S&P 500_6    ,20170927,   22.48,       47
0050   ,Yuanta Taiwan Top50,20170928,   75.39,     6899
0056   ,PTD          ,20170928,   23.47,     1763
006205 ,FB SSE180_0  ,20170928,   31.03,     1265
00646  ,S&P 500_6    ,20170928,   22.71,      233
0050   ,Yuanta Taiwan Top50,20170929,   75.63,     3443
0056   ,PTD          ,20170929,   23.47,     5461
006205 ,FB SSE180_0  ,20170929,   31.12,     2028
00646  ,S&P 500_6    ,20170929,   22.73,       61
0050   ,Yuanta Taiwan Top50,20170930,   76.14,     1585
0056   ,PTD          ,20170930,   23.62,     1178
006205 ,FB SSE180_0  ,20170930,   31.15,      824
00646  ,S&P 500_6    ,20170930,   22.90,       24
0050   ,Yuanta Taiwan Top50,20171002,   76.42,     3261
0056   ,PTD          ,20171002,   23.79,     1124
006205 ,FB SSE180_0  ,20171002,   31.24,      724
00646  ,S&P 500_6    ,20171002,   22.90,       85
0050   ,Yuanta Taiwan Top50,20171003,   76.42,     1578
0056   ,PTD          ,20171003,   23.87,     1292
006205 ,FB SSE180_0  ,20171003,   31.59,     1774
00646  ,S&P 500_6    ,20171003,   23.00,       26
0050   ,Yuanta Taiwan Top50,20171005,   76.75,     6407
0056   ,PTD          ,20171005,   23.92,      786
006205 ,FB SSE180_0  ,20171005,   32.10,     3277
00646  ,S&P 500_6    ,20171005,   23.02,       39
0050   ,Yuanta Taiwan Top50,20171006,   76.99,     4126
0056   ,PTD          ,20171006,   24.03,     1473
006205 ,FB SSE180_0  ,20171006,   32.17,     2892
00646  ,S&P 500_6    ,20171006,   23.16,      141
0050   ,Yuanta Taiwan Top50,20171011,   78.21,    15975
0056   ,PTD          ,20171011,   24.03,     3156
006205 ,FB SSE180_0  ,20171011,   31.93,     3895
00646  ,S&P 500_6    ,20171011,   23.00,       52
0050   ,Yuanta Taiwan Top50,20171012,   78.96,     8770
0056   ,PTD          ,20171012,   24.01,     1675
006205 ,FB SSE180_0  ,20171012,   31.86,     4087
00646  ,S&P 500_6    ,20171012,   23.07,      111
0050   ,Yuanta Taiwan Top50,20171013,   78.82,     3596
0056   ,PTD          ,20171013,   23.91,     2687
006205 ,FB SSE180_0  ,20171013,   31.85,     1833
00646  ,S&P 500_6    ,20171013,   23.03,       43
0050   ,Yuanta Taiwan Top50,20171016,   79.24,     4045
0056   ,PTD          ,20171016,   24.00,     1888
006205 ,FB SSE180_0  ,20171016,   31.82,     2893
00646  ,S&P 500_6    ,20171016,   23.02,       72
0050   ,Yuanta Taiwan Top50,20171017,   79.05,     3233
0056   ,PTD          ,20171017,   23.94,     1002
006205 ,FB SSE180_0  ,20171017,   31.68,     2692
00646  ,S&P 500_6    ,20171017,   23.06,       77
0050   ,Yuanta Taiwan Top50,20171018,   79.33,     4472
0056   ,PTD          ,20171018,   23.96,     1089
006205 ,FB SSE180_0  ,20171018,   31.57,     8664
00646  ,S&P 500_6    ,20171018,   23.11,      101
0050   ,Yuanta Taiwan Top50,20171019,   79.61,     2447
0056   ,PTD          ,20171019,   23.97,      952
006205 ,FB SSE180_0  ,20171019,   31.58,     4304
00646  ,S&P 500_6    ,20171019,   23.16,      109
